modelo,repeticao,edital,perguntas,metrica,Doc. inteiro,RAG vetorial,Configuração híbrida,Configuração com busca adicional
Claude Haiku 4.5,3,MIB R2 — Tecnologias Digitais,15,Valores esperados (automático),1,0.8,0.9333,0.9333
Claude Haiku 4.5,3,MIB R2 — Tecnologias Digitais,15,Respostas totalmente referenciadas,0.6,0.5333,1,1
Claude Haiku 4.5,3,MIB R2 — Tecnologias Digitais,15,Item esperado recuperado,1,0.7333,1,1
Claude Haiku 4.5,3,MIB R2 — Tecnologias Digitais,15,Citou o item esperado,1,0.7333,0.9333,1
Claude Haiku 4.5,3,MIB R2 — Tecnologias Digitais,15,Tokens de entrada por pergunta,20145.3333,6763.8667,13338.2,13860.7333
Claude Haiku 4.5,3,MIB R2 — Tecnologias Digitais,15,Tokens totais por pergunta,21672.6667,7909.7333,18241.7333,19003.6
Claude Haiku 4.5,3,MIB R2 — Tecnologias Digitais,15,Latência média (s),15.3815,11.9303,20.9732,24.8756
Claude Haiku 4.5,3,Agricultura Familiar para ICTs 2026,15,Acurácia sem referência,0.9333,0.6,0.9333,1
Claude Haiku 4.5,3,Agricultura Familiar para ICTs 2026,15,Acurácia com referência,0.5333,0.4667,0.9333,1
Claude Haiku 4.5,3,Agricultura Familiar para ICTs 2026,15,Valores esperados (automático),0.9333,0.6,0.9333,1
Claude Haiku 4.5,3,Agricultura Familiar para ICTs 2026,15,Respostas totalmente referenciadas,0.6,0.7333,1,1
Claude Haiku 4.5,3,Agricultura Familiar para ICTs 2026,15,Item esperado recuperado,1,0.7857,1,1
Claude Haiku 4.5,3,Agricultura Familiar para ICTs 2026,15,Citou o item esperado,0.9286,0.7143,1,1
Claude Haiku 4.5,3,Agricultura Familiar para ICTs 2026,15,Tokens de entrada por pergunta,22719.3333,4050.9333,11284.8,14475.8667
Claude Haiku 4.5,3,Agricultura Familiar para ICTs 2026,15,Tokens totais por pergunta,24082.6667,5036.4,16569.0667,19925.2
Claude Haiku 4.5,3,Agricultura Familiar para ICTs 2026,15,Latência média (s),13.8047,10.3103,20.1824,23.8207
